player_num,position,player_name,player_name,club,age,height,weight,birthplace,status,height in cm,weight in grams
136,NA,GK,Akira Fitzgerald,New York City FC,27,5' 9'',174,Japan,Active,175.26,78925.07238
137,26,M,George Fochive,Portland Timbers,22,5' 9'',172,USA,Active,175.26,78017.88764
138,NA,GK,Josh Ford,Orlando City SC,27,6',175,USA,Active,182.88,79378.66475
139,20,D,Shaun Francis,San Jose Earthquakes,28,6',165,Jamaica,Active,182.88,74842.74105
140,14,D,Waylon Francis,Columbus Crew SC,24,5' 9'',160,Costa Rica,Active,175.26,72574.7792
141,5,D,Sean Franklin,D.C. United,29,5' 10'',160,USA,Active,177.8,72574.7792
142,24,G,Stefan Frei,Seattle Sounders FC,28,6' 3'',195,Switzerland,Active,190.5,88450.51215
143,38,M,Kianz Froese,Vancouver Whitecaps FC,18,5' 9'',170,Cuba,Active,175.26,77110.7029
144,28,D,Raymon Gaddis,Philadelphia Union,24,5' 9'',151,USA,Active,175.26,68492.44787
145,50,M,Jérémy Gagnon-Laparé,Montreal Impact,19,5' 11'',165,Canada,Active,180.34,74842.74105
146,25,M,Romain Gall,Columbus Crew SC,19,5' 9'',140,France,Active,175.26,63502.9318
147,27,M,Boniek Garcia,Houston Dynamo,30,5' 9'',150,Honduras,Active,175.26,68038.8555
148,13,F,Olmes García,Real Salt Lake,22,6',175,Colombia,Active,182.88,79378.66475
149,26,M,Danny Garcia,FC Dallas,21,5' 5'',140,USA,Active,165.1,63502.9318
150,33,D,Dan Gargan,LA Galaxy,32,5' 11'',175,USA,Active,180.34,79378.66475
151,19,M,Luis Garrido,Houston Dynamo,24,5' 7'',165,Honduras,Active,170.18,74842.74105
152,6,D,Eric Gehrig,Chicago Fire,27,6' 1'',160,USA,Active,185.42,72574.7792
153,23,M,Kevan George,Columbus Crew SC,24,6' 2'',170,Trinidad and Tobago,Active,187.96,77110.7029
154,21,M,Luis Gil,Real Salt Lake,21,5' 10'',155,USA,Active,177.8,70306.81735
155,9,F,Gilberto,Toronto FC,25,5' 10'',160,Brazil,Active,177.8,72574.7792
156,14,D,Justen Glad,Real Salt Lake,17,6',145,USA,Active,182.88,65770.89365
157,11,M,Jackson Gonçalves,Toronto FC,26,5' 9'',155,Brazil,Active,175.26,70306.81735
158,23,D,José Gonçalves,New England Revolution,29,6' 2'',180,Portugal,Active,187.96,81646.6266
159,12,D,Leo González,Seattle Sounders FC,34,6' 1'',174,Costa Rica,Active,185.42,78925.07238
160,4,D,Omar Gonzalez,LA Galaxy,26,6' 5'',205,USA,Active,195.58,92986.43585
161,44,GK,Jesse Gonzalez,FC Dallas,19,6' 4'',180,USA,Active,193.04,81646.6266
162,44,D,Clarence Goodson,San Jose Earthquakes,32,6' 4'',180,USA,Active,193.04,81646.6266
